track_id,track_name,artist_name,album_name,album_id,release_date,popularity,duration_ms,album_images,album_image_url,artist_ids,explicit,preview_url
5L0oNcUAPW4zFLBekccycM,El Ojo Blindado,Sumo,Llegando Los Monos,2kn0EF90FuahMHtPpwVsX4,1986-04-29,47,134173,"[{'url': 'https://i.scdn.co/image/ab67616d0000b2738c1cbd8030cdd911c0e4cdd2', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e028c1cbd8030cdd911c0e4cdd2', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d000048518c1cbd8030cdd911c0e4cdd2', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b2738c1cbd8030cdd911c0e4cdd2,['10AzTrYMPVVmpKoBP5bX9W'],False,
1xeJGNdKyEqqhWfkR31jM2,Aunque No Quiero,Los Caligaris,Circología,59wgQxKgwb9vnpurJ7DSb7,2015-04-14,46,215626,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273d30da38e824f98f31c19afda', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02d30da38e824f98f31c19afda', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851d30da38e824f98f31c19afda', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273d30da38e824f98f31c19afda,['13wFTN72PGSUxzEHJP5Ljs'],False,
6qtDW5A9dgCyjhQZSGRlcu,Nueve,Enjambre,Proaño,0M56ul1MNAOoEvW6tvpar4,2014-10-14,52,211240,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27326da2f3b75f84c4c1d10730a', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0226da2f3b75f84c4c1d10730a', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485126da2f3b75f84c4c1d10730a', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27326da2f3b75f84c4c1d10730a,['1ZdhAl62G6ZlEKqIwUAfZR'],False,
5zc2yka1Itw55sYxeGH4Sp,Rompecabezas De Amor... - Live In Buenos Aires / 2016,Las Pastillas del Abuelo,Vivo De Pastillas: Locura Y Realidad (Live In Buenos Aires / 2016),3l0v842H6eKkHsOmHUUcHe,2017-11-10,50,305813,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273139bed0e823fe7e9691ea587', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02139bed0e823fe7e9691ea587', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851139bed0e823fe7e9691ea587', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273139bed0e823fe7e9691ea587,['0D5U7oXEE4dut2DPyUDLca'],False,
6h4YWETL6DAEKpeSr0CaGu,Quien Te Cantara,Interpuesto,15 Rolitas de Amor,2zZmPYbtRdix1vDkr2ve21,1999,49,200053,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fcc305789469d3af0e4c5cde', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fcc305789469d3af0e4c5cde', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fcc305789469d3af0e4c5cde', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273fcc305789469d3af0e4c5cde,['2BbXMNKjkmAw56U7oXQDLB'],False,
1FWsomP9StpCcXNWmJk8Cl,K.,Cigarettes After Sex,Cigarettes After Sex,2mxFsS5yylSTHNivV53HoA,2017-06-09,25,320030,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,['1QAJqy2dA3ihHBFIHRphZj'],False,
0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2mxFsS5yylSTHNivV53HoA,2017-06-09,29,290616,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,['1QAJqy2dA3ihHBFIHRphZj'],False,
3p4hRhMcb6ch8OLtATMaLw,Cry,Cigarettes After Sex,Cry,4uQ5kFmXQdCxz3WvM4UUzy,2019-10-25,63,256799,"[{'url': 'https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf,['1QAJqy2dA3ihHBFIHRphZj'],False,
6ilc4vQcwMPlvAHFfsTGng,Sweet,Cigarettes After Sex,Cigarettes After Sex,2mxFsS5yylSTHNivV53HoA,2017-06-09,23,292110,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,['1QAJqy2dA3ihHBFIHRphZj'],False,
0SpkyS1Q4MD8GaVcP5YjT4,Sunsetz,Cigarettes After Sex,Cigarettes After Sex,2mxFsS5yylSTHNivV53HoA,2017-06-09,25,215150,"[{'url': 'https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'width': 640, 'height': 640}, {'url': 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'width': 300, 'height': 300}, {'url': 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161', 'width': 64, 'height': 64}]",https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,['1QAJqy2dA3ihHBFIHRphZj'],True,
